year,geo_code,geo_level,FSA,GNR,GNR_LF,data_quality_flag,alt_geo_code,pop_2016,num_private_dwellings,num_dwellings_occupied,pct_age_0_14,pct_age_15_64,pct_age_64_plus,median_age,avg_household_size,avg_census_family_size,median_income_recipients,median_income_household,pct_LIM_AT,pct_LIM_AT_age_under18,pct_LIM_AT_age_under6,pct_LIM_AT_age_18_64,pct_LIM_AT_age_65_plus,pct_participation_rate,pct_employed,pct_unemployed,pct_cdn_citizens,pct_immigrants,pct_aboriginal,pct_visible_minority,pct_home_owners,pct_home_rent,pct_education_none,pct_education_uni_higher,pct_non_movers,donation,avg_donation
2016,G5Y,2,G5Y,5.0,5.6,00000,01G5Y,23460,11366,10985,14.3,63.7,22,47.7,2,2.7,30348,49847,15.9,13.4,13.4,15.1,20.8,63,59.2,6,0.990416759527524,0.015600624024960999,0.00980392156862745,0.012257633162469356,0.6003649635036497,0.4000912408759124,0.17581967213114755,0.7482517482517482,0.8896629213483146,123500,5.264279624893436
2016,G5Z,2,G5Z,3.0,4.8,00000,01G5Z,6882,2841,2799,22.4,62.4,15.3,38.5,2.4,3,37347,67840,8.3,7,5.7,5.7,21.6,67.7,65.5,3.4,0.9941176470588236,0.013235294117647059,0.008088235294117648,0.006612784717119765,0.7237076648841355,0.27629233511586454,0.14064697609001406,1.59,0.9205052005943536,500,0.07265329845975008
2016,G6A,2,G6A,3.2,7.2,00000,01G6A,2330,873,865,26.6,66.5,6.9,35.4,2.7,3.2,43627,81856,5.6,5.6,4.2,4.8,15.6,81.6,79.6,2.4,0.9937369519832986,0.018789144050104383,0.012526096033402923,0.012526096033402923,0.8202247191011236,0.17415730337078653,0.07326007326007326,2.65,0.9554140127388535,2400,1.0300429184549356
2016,G6B,2,G6B,4.2,3.5,00000,01G6B,8179,4081,3736,16.3,60.1,23.6,48.7,2.1,2.8,30726,51328,14.8,11.9,10.2,13.4,21.6,59.4,56.6,4.9,0.9936386768447837,0.02099236641221374,0.015257469802924348,0.012714558169103624,0.6671159029649596,0.33423180592991913,0.22399020807833536,0.5956284153005464,0.8930172966047405,1200,0.1467172025920039
2016,G6C,2,G6C,2.2,3.0,00000,01G6C,7046,2846,2794,18.7,69.8,11.6,39.5,2.5,2.9,40457,79992,4.8,3.1,3,3.5,15.8,75.7,72.7,3.8,0.9928571428571429,0.011428571428571429,0.011420413990007138,0.009285714285714286,0.7692307692307693,0.23076923076923078,0.08776266996291718,1.6056338028169015,0.9111271676300579,700,0.09934714731762702
2016,G6E,2,G6E,3.4,3.9,00000,01G6E,13537,5845,5641,17.2,64.3,18.5,41.9,2.3,2.8,36162,64565,9.5,7.8,7.1,8,17.7,70.4,67.7,3.9,0.9876638396299152,0.027745664739884393,0.006936416184971098,0.02467232074016962,0.6950354609929078,0.3049645390070922,0.11328671328671329,1.4876543209876543,0.8966861598440545,2100,0.1551303833936618
2016,G6G,2,G6G,5.3,4.5,00000,01G6G,19707,10043,9445,13.1,57.7,29.1,52.6,2,2.6,29233,46939,16.8,14.6,14.2,15.6,21,55.3,52.8,4.6,0.9866956285636709,0.014933478142818354,0.006514657980456026,0.012218300298669563,0.6540713145290048,0.3459286854709952,0.15691489361702127,0.8067796610169492,0.8996993714129543,4400,0.2232709189628051
2016,G6H,2,G6H,5.1,4.1,00000,01G6H,7142,3345,3134,14.2,60.4,25.5,50.9,2.2,2.7,29884,52429,12.4,11,11.4,10.4,18.6,58.3,55.8,4.2,0.9950354609929078,0.007801418439716312,0.012056737588652482,0.007801418439716312,0.7897196261682243,0.2087227414330218,0.12447552447552447,0.7191011235955056,0.9341445955619184,500,0.07000840100812097
2016,G6J,2,G6J,2.6,4.4,00000,01G6J,10513,4089,4029,21.3,66.8,11.8,38.7,2.6,3,41797,83610,5.5,4.9,4.2,4.2,14.5,73.1,70.1,4.2,0.9947817836812144,0.018975332068311195,0.009962049335863378,0.012808349146110056,0.8214285714285714,0.17980295566502463,0.07306711979609176,3.0813953488372094,0.9426782273603083,1800,0.17121658898506611
2016,G6K,2,G6K,1.6,2.6,00000,01G6K,8366,3170,3148,22.2,65.2,12.7,38.7,2.7,3,46272,93726,3.9,3.4,3.6,3.2,8.1,74,71.5,3.4,0.9957957957957958,0.01921921921921922,0.01141826923076923,0.016816816816816817,0.8184713375796179,0.18152866242038215,0.04632768361581921,7.2926829268292686,0.9333737129012719,900,0.10757829309108295
2016,G6L,2,G6L,4.1,4.6,00000,01G6L,15172,6996,6691,16.9,61.1,22,45.3,2.2,2.8,29725,50048,14.8,11.9,12.5,12.2,25.7,65.3,61.9,5.4,0.9982964224872232,0.011584327086882453,0.00545144804088586,0.00715258855585831,0.6783582089552239,0.3208955223880597,0.19960604070912671,0.46710526315789475,0.8972059330803726,1000,0.0659108884787767
2016,G6P,2,G6P,6.3,3.9,00000,01G6P,29233,14619,14024,12.7,57.9,29.4,52.1,2,2.6,27116,42947,20.3,18.8,20.4,19.2,23.9,56.3,52.4,6.9,0.9870603244031347,0.030071077091306724,0.00747220703480955,0.02369236376890833,0.5407328352899324,0.45926716471006757,0.2026542324246772,0.7097345132743362,0.8748851736174904,4900,0.16761878698730887
2016,G6R,2,G6R,1.4,3.8,00000,01G6R,4598,1754,1715,23.4,65.5,11.2,37.6,2.7,3,37308,74837,7.5,6.3,2.5,6.2,17.6,73.7,70.3,4.7,0.9933407325194229,0.013333333333333334,0,0.014428412874583796,0.8905325443786982,0.10946745562130178,0.16666666666666666,1,0.922384701912261,0,0
2016,G6S,2,G6S,5.0,4.8,00000,01G6S,5029,2039,1977,18.8,61.2,20,41,2.4,2.9,34525,62746,10.6,11.9,14.5,8.7,15.9,67.2,65.4,3.2,0.9892588614393125,0.031149301825993556,0.0021482277121374865,0.024704618689581095,0.7480916030534351,0.24936386768447838,0.13729508196721313,1.4179104477611941,0.8605405405405405,1800,0.3579240405647246
2016,G6T,2,G6T,2.0,3.0,00000,01G6T,10291,4141,4082,20.9,68.7,10.4,36.9,2.5,2.9,38031,73106,6.9,6.5,5.5,5.9,14.5,73.6,70.8,3.8,0.983638113570741,0.03176130895091434,0.007218479307025986,0.030798845043310877,0.7943696450428397,0.20563035495716034,0.11672473867595819,1.5970149253731343,0.8861313868613139,1100,0.10688951511029054
2016,G6V,2,G6V,5.8,5.3,00000,01G6V,31698,16046,15222,11.7,61,27.3,51.4,2,2.6,34474,55065,13.1,12.6,12.9,12.4,15.3,61,57.7,5.5,0.9814814814814815,0.03064488971207274,0.007744107744107744,0.02558922558922559,0.5402034788316377,0.45946832950443056,0.10006353240152478,2.3777777777777778,0.8746390351622219,5200,0.16404820493406524
2016,G6W,2,G6W,3.7,5.4,00000,01G6W,23942,11296,10990,15.3,64.4,20.3,44.1,2.1,2.7,39350,66832,7.8,6.6,6.3,6.8,12.2,66.8,64.2,3.8,0.9809241203899958,0.039423484527342095,0.009749894022891056,0.03370072064434082,0.6181818181818182,0.38136363636363635,0.08552631578947369,3.276018099547511,0.8785867237687366,4400,0.18377746220031743
2016,G6X,2,G6X,4.6,3.9,00000,01G6X,9751,4774,4645,12.8,65.8,21.4,46.3,2,2.6,37606,61686,9.5,10,8.8,8.5,12.5,68.5,64.4,5.8,0.9851063829787234,0.02764486975013291,0.01276595744680851,0.029771398192450824,0.5726587728740581,0.42734122712594186,0.08436018957345971,2.9101123595505616,0.8651262761955938,1700,0.17434109322120808
2016,G6Y,2,G6Y,2.1,3.4,00000,01G6Y,5618,2312,2237,19.7,68.3,11.9,39.3,2.5,2.9,44104,87403,4.2,3.4,3.4,3.4,9.7,74.9,72.1,3.8,0.986449864498645,0.02710027100271003,0.006323396567299007,0.025293586269196026,0.7737556561085973,0.22624434389140272,0.0694006309148265,3.977272727272727,0.8771769019248395,100,0.0177999288002848
2016,G6Z,2,G6Z,1.8,3.6,00000,01G6Z,23607,9112,9005,20,69.1,10.9,39.7,2.6,3,44432,92078,3.8,3,3.3,2.9,10.2,75.5,73.2,3,0.9955347650435892,0.01594726770146715,0.007229428024665107,0.011056772273017223,0.8188888888888889,0.1811111111111111,0.05570291777188329,4.7687074829931975,0.9373121511378274,72800,3.0838310670563818
2016,G7A,2,G7A,2.6,3.0,00000,01G7A,22834,8925,8695,21.3,64.9,13.8,39.2,2.6,3,46722,93598,4,3.5,3.1,3.3,8.5,72.8,70.4,3.3,0.9913659508523356,0.02988709320345362,0.00841452612931798,0.024131060438344034,0.8461095100864553,0.15389048991354468,0.04814361485108119,7.567796610169491,0.9242661886623348,2800,0.12262415695892091
